"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"New Zealand",2022,3412,49816.1,1.31,15,99,99,99,NA,NA,NA,NA,33.6,1.4,NA,NA,1922,2496,0.21,2.12,89,NA,NA
"Nicaragua",2017,2601,7144.4,-0.05,31,55,81,73,15.9,0.1,7.9,0.1,30.6,1.2,14.6,0.3,1774,2292,0.33,2.22,NA,10.3,0.1
"Nicaragua",2018,2576,6807.8,-0.95,34,55,82,73,15.7,0.1,8,0.1,31.2,1.3,15.1,0.3,1777,2295,0.33,2.27,NA,10.2,0.1
"Nicaragua",2019,2609,6519.6,-0.99,34,55,82,73,15.5,0.1,8.2,0.1,31.8,1.3,15.7,0.3,1779,2298,0.33,2.48,NA,10.2,0.1
"Nicaragua",2020,2626,6317.3,-0.59,30,56,82,73,15.3,0.1,8.4,0.1,32.4,1.4,NA,NA,1781,2301,0.34,2.52,NA,10.1,0.1
"Nicaragua",2021,2668,6874.6,-0.47,15,NA,NA,NA,15.1,0.1,8.6,0.1,33,1.5,NA,NA,1784,2304,0.39,2.51,NA,NA,NA
"Nicaragua",2022,2695,7032,-0.35,17,NA,NA,NA,14.9,0.1,8.7,0.1,33.6,1.5,NA,NA,1787,2308,0.38,2.51,NA,NA,NA
"Niger",2017,2565,1498.9,-1.26,26,NA,47,14,46.3,2,1.7,0.1,4.8,0.5,49.5,2.2,1668,2142,0.32,3.04,7,NA,NA
"Niger",2018,2641,1547.2,-1.36,26,NA,47,14,46.4,2.1,1.8,0.1,5,0.5,49.5,2.3,1669,2143,0.31,3.03,7,NA,NA
"Niger",2019,2596,1578.5,-1.4,36,NA,47,15,46.6,2.2,2,0.1,5.2,0.5,49.5,2.4,1669,2144,0.31,3.07,7,NA,NA
"Niger",2020,2644,1574.8,-1.67,26,NA,48,15,46.8,2.2,2.2,0.1,5.4,0.6,NA,NA,1670,2145,0.31,3.11,8,NA,NA
"Niger",2021,2507,1538.5,-1.54,27,NA,48,16,47,2.3,2.4,0.1,5.7,0.6,NA,NA,1670,2146,0.31,3.12,8,NA,NA
"Niger",2022,2631,1652.7,-1.47,63,NA,49,16,47.4,2.4,2.7,0.1,6,0.7,NA,NA,1671,2147,0.34,3.12,8,NA,NA
"Nigeria",2017,2556,5849.1,-2,37,26,72,41,36.2,11.8,2.3,0.7,10.2,9.8,54.9,24,1693,2177,0.28,3.42,29,NA,NA
"Nigeria",2018,2532,5814.6,-2.1,35,27,73,42,35.8,11.9,2.2,0.7,10.6,10.5,55,24.7,1707,2196,0.28,3.42,29,NA,NA
"Nigeria",2019,2540,5799.3,-1.93,7,27,75,43,35.4,11.9,2.2,0.7,11,11.2,55.1,25.5,1709,2199,0.28,3.39,30,NA,NA
"Nigeria",2020,2510,5557.9,-1.89,8,28,76,44,35,12,2.2,0.8,11.4,11.9,NA,NA,1711,2203,0.32,3.39,31,NA,NA
"Nigeria",2021,2543,5623.7,-1.79,9,28,78,45,34.5,12,2.2,0.8,11.9,12.8,NA,NA,1714,2206,0.33,3.37,31,NA,NA
"Nigeria",2022,2504,5670,-1.8,16,29,80,47,34.2,12.1,2.2,0.8,12.4,13.6,NA,NA,1716,2210,0.33,3.37,32,NA,NA
"Niue",2017,NA,NA,NA,NA,94,97,98,NA,NA,NA,NA,63.7,0.1,26.8,0.1,NA,NA,NA,3.02,NA,NA,NA
"Niue",2018,NA,NA,NA,NA,94,97,98,NA,NA,NA,NA,64.2,0.1,27,0.1,NA,NA,NA,3.02,NA,NA,NA
"Niue",2019,NA,NA,NA,NA,94,97,98,NA,NA,NA,NA,64.9,0.1,27.3,0.1,NA,NA,NA,3.02,NA,NA,NA
"Niue",2020,NA,NA,NA,NA,94,97,97,NA,NA,NA,NA,65.5,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Niue",2021,NA,NA,NA,NA,94,97,97,NA,NA,NA,NA,66,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Niue",2022,NA,NA,NA,NA,94,97,97,NA,NA,NA,NA,66.6,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"North Macedonia",2017,2985,18709.2,-0.26,21,80,98,97,4.4,0.1,10.9,0.1,24.7,0.4,18.5,0.1,1934,2511,0.21,2.34,12,8.3,0.1
"North Macedonia",2018,3031,19232.2,-0.21,23,80,98,97,4.2,0.1,10.5,0.1,25.2,0.4,18.9,0.1,1934,2510,0.21,2.42,12,8.3,0.1
"North Macedonia",2019,3082,19979.7,0.01,19,80,98,98,4.1,0.1,10.2,0.1,25.8,0.4,19.3,0.1,1934,2511,0.21,2.32,12,8.3,0.1
"North Macedonia",2020,3126,18796.4,0.11,19,80,98,98,3.9,0.1,10,0.1,26.3,0.4,NA,NA,1934,2510,0.25,2.39,12,8.3,0.1
"North Macedonia",2021,3164,19902.8,0.06,27,80,98,99,3.8,0.1,9.9,0.1,26.9,0.5,NA,NA,1934,2511,0.23,2.36,12,NA,NA
"North Macedonia",2022,3157,20403.3,0.12,32,80,98,99,3.7,0.1,9.9,0.1,27.5,0.5,NA,NA,1935,2512,0.23,2.36,12,NA,NA
"Norway",2017,3416,85144.1,1.15,61,99,99,98,NA,NA,NA,NA,17.7,0.7,11.4,0.1,1959,2548,0.2,2,78,4.5,0.1
"Norway",2018,3486,85285,1.12,55,99,99,98,NA,NA,NA,NA,18,0.8,11.7,0.1,1960,2550,0.2,2.02,78,4.5,0.1
"Norway",2019,3532,85663.2,1.14,43,99,99,98,NA,NA,NA,NA,18.3,0.8,12,0.1,1961,2551,0.2,2,78,4.5,0.1
"Norway",2020,3532,84071.8,1.22,61,99,99,98,NA,NA,NA,NA,18.6,0.8,NA,NA,1962,2554,0.2,2.01,78,4.4,0.1
"Norway",2021,3509,86892,1.09,74,99,99,98,NA,NA,NA,NA,18.8,0.8,NA,NA,1964,2556,0.2,2.04,78,NA,NA
"Norway",2022,3381,88712,0.86,63,99,99,98,NA,NA,NA,NA,19.1,0.8,NA,NA,1965,2557,0.21,2.04,78,NA,NA
"Oman",2017,3060,38844.3,0.75,50,90,91,99,12.2,0.1,4.3,0.1,27.7,0.9,29.1,0.3,1923,2505,0.26,5.01,NA,13.2,0.1
"Oman",2018,3076,38837.2,0.64,43,90,92,99,12.4,0.1,4.7,0.1,28.3,1,29.1,0.3,1915,2492,0.26,4.93,NA,13.2,0.1
"Oman",2019,3084,38385.4,0.59,38,90,92,99,12.5,0.1,5.1,0.1,29,1,29.1,0.3,1902,2472,0.26,4.99,NA,13.2,0.1
"Oman",2020,3086,37572.7,0.42,34,91,92,99,12.6,0.1,5.6,0.1,29.8,1,NA,NA,1885,2446,0.26,5.14,NA,13.2,0.1
"Oman",2021,3032,38931,0.43,37,91,92,99,12.7,0.1,6,0.1,30.5,1,NA,NA,1874,2429,0.26,5.38,NA,NA,NA
"Oman",2022,3064,40114,0.53,17,91,92,99,12.7,0.1,6.5,0.1,31.1,1,NA,NA,1874,2429,0.26,5.38,NA,NA,NA
"Pakistan",2017,2486,5191.9,-2.4,23,46,90,62,39.4,11.6,3.7,1.1,17.5,20.9,41.6,21.6,1725,2225,0.25,2.99,NA,NA,NA
"Pakistan",2018,2483,5427.2,-2.25,28,46,90,64,38.3,11.2,3.5,1,18.5,22.6,41.4,22,1726,2227,0.24,3.01,NA,NA,NA
"Pakistan",2019,2450,5474,-2.25,17,48,90,65,37.1,10.9,3.3,1,19.6,24.5,41.3,22.4,1728,2230,0.25,3.14,NA,NA,NA
"Pakistan",2020,2485,5311.4,-1.79,22,48,90,67,36,10.6,3.1,0.9,20.7,26.5,NA,NA,1731,2234,0.3,2.96,NA,NA,NA
"Pakistan",2021,2474,5554.6,-1.71,18,50,90,69,34.9,10.3,2.9,0.9,21.8,28.6,NA,NA,1734,2238,0.33,3.02,NA,NA,NA
"Pakistan",2022,2443,5706.9,-1.9,18,51,91,70,34,10.1,2.7,0.8,23,31,NA,NA,1737,2243,0.33,3.02,NA,NA,NA
"Palau",2017,NA,19415.3,1.21,NA,84,99,98,NA,NA,NA,NA,40,0.1,28.1,0.1,NA,NA,NA,3.02,NA,13.5,0.1
"Palau",2018,NA,19659.3,1.19,NA,86,99,98,NA,NA,NA,NA,40.2,0.1,28.3,0.1,NA,NA,NA,3.02,NA,13.5,0.1
"Palau",2019,NA,19641.1,1.17,NA,87,99,98,NA,NA,NA,NA,40.4,0.1,28.5,0.1,NA,NA,NA,3.02,NA,13.5,0.1
"Palau",2020,NA,18101.7,1.17,NA,88,99,98,NA,NA,NA,NA,40.7,0.1,NA,NA,NA,NA,NA,3.02,NA,13.5,0.1
"Palau",2021,NA,15572.7,1.17,NA,89,99,99,NA,NA,NA,NA,40.9,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Palau",2022,NA,NA,1.1,NA,90,99,99,NA,NA,NA,NA,41.1,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Palestine",2017,NA,6426.8,-1.65,NA,79,97,97,8.1,0.1,7.8,0.1,36.1,0.9,30.5,0.4,1716,2212,NA,2.44,62,10.2,0.1
"Palestine",2018,NA,6342.9,-1.8,NA,79,97,98,7.9,0.1,7.9,0.1,36.4,0.9,30.7,0.4,1718,2214,NA,2.51,64,10.2,0.1
"Palestine",2019,NA,6269.9,-1.89,NA,79,98,98,7.7,0.1,8,0.1,36.7,1,31,0.4,1721,2218,NA,2.69,66,10.3,0.1
"Palestine",2020,NA,5423.7,-2.02,NA,80,98,99,7.6,0.1,8.1,0.1,37,1,NA,NA,1724,2222,NA,2.6,67,10.4,0.1
"Palestine",2021,NA,5663.1,-1.84,NA,80,98,99,7.5,0.1,8.2,0.1,37.3,1,NA,NA,1728,2227,NA,2.87,69,NA,NA
"Palestine",2022,NA,5744.8,-1.82,NA,80,98,99,7.5,0.1,8.3,0.1,37.6,1.1,NA,NA,1732,2232,NA,2.87,70,NA,NA
"Panama",2017,2878,32136.4,0.38,58,NA,94,81,16.6,0.1,11.1,0.1,31.3,0.9,21.1,0.2,1783,2303,0.28,2.6,NA,10.4,0.1
"Panama",2018,3043,32767.3,0.25,37,NA,94,82,15.9,0.1,11.2,0.1,32.3,0.9,21.2,0.2,1785,2305,0.28,2.73,NA,10.3,0.1
"Panama",2019,3054,33304.7,0.29,57,NA,94,83,15.2,0.1,11.3,0.1,33.2,1,21.2,0.2,1787,2308,0.28,2.66,NA,10.3,0.1
"Panama",2020,3025,27025.3,0.24,67,NA,94,85,14.6,0.1,11.4,0.1,34.1,1,NA,NA,1789,2311,0.28,2.69,NA,10.3,0.1
"Panama",2021,3052,30895.8,0.31,62,NA,95,86,14.1,0.1,11.4,0.1,35.1,1,NA,NA,1791,2313,0.29,2.94,NA,NA,NA
"Panama",2022,3062,33790.4,0.3,51,NA,95,86,13.8,0.1,11.4,0.1,36.1,1.1,NA,NA,1792,2316,0.3,2.94,NA,NA,NA
"Papua New Guinea",2017,2213,4377.4,-0.69,20,NA,45,19,49.8,0.6,14.1,0.2,18.5,1,34,0.7,1724,2223,0.27,4.94,NA,19.3,0.1
"Papua New Guinea",2018,2194,4264.9,-0.66,20,NA,46,19,50.2,0.6,14.6,0.2,18.8,1,34.2,0.7,1727,2227,0.27,4.93,NA,19.3,0.1
"Papua New Guinea",2019,2195,4356.4,-0.71,23,NA,47,19,50.5,0.6,15.1,0.2,19.2,1.1,34.4,0.8,1730,2231,0.27,4.73,NA,19.4,0.1
"Papua New Guinea",2020,2229,4128.8,-0.65,11,NA,48,19,50.7,0.6,15.5,0.2,19.6,1.1,NA,NA,1732,2235,0.27,4.66,NA,19.4,0.1
"Papua New Guinea",2021,2190,4014.3,-0.58,15,NA,49,19,51,0.6,15.8,0.2,20.1,1.2,NA,NA,1735,2238,0.27,4.65,NA,NA,NA
"Papua New Guinea",2022,2223,4141.2,-0.61,16,NA,50,19,51.2,0.6,16,0.2,20.5,1.2,NA,NA,1737,2241,0.27,4.65,NA,NA,NA
"Paraguay",2017,3094,15280,0,41,63,98,90,5.5,0.1,12.5,0.1,28.7,1.2,23,0.4,1823,2360,0.25,2.33,53,10,0.1
"Paraguay",2018,3104,15554.4,-0.09,42,64,99,91,4.9,0.1,13,0.1,29.5,1.2,23,0.4,1824,2362,0.25,2.34,53,10,0.1
"Paraguay",2019,3096,15286.2,-0.02,34,64,99,92,4.4,0.1,13.4,0.1,30.4,1.3,23,0.4,1825,2363,0.26,2.44,54,10,0.1
"Paraguay",2020,3108,14957.8,0.02,18,64,99,93,4,0.1,13.8,0.1,31.2,1.4,NA,NA,1826,2364,0.27,2.55,54,10,0.1
"Paraguay",2021,3089,15361.1,0,27,64,99,94,3.7,0.1,14.3,0.1,32.1,1.4,NA,NA,1828,2365,0.27,2.52,55,NA,NA
"Paraguay",2022,3055,15198.2,0.04,23,64,99,95,3.4,0.1,14.6,0.1,33,1.5,NA,NA,1830,2367,0.27,2.52,55,NA,NA
"Peru",2017,2743,14745.6,-0.26,14,50,92,76,13.2,0.4,8.2,0.2,22.6,4.8,20.2,1.7,1779,2296,0.25,3.25,45,7.8,0.1
"Peru",2018,2767,15046,-0.28,21,51,92,76,12.4,0.4,8.3,0.2,23.5,5.1,20.4,1.7,1782,2301,0.25,3.25,48,7.7,0.1
"Peru",2019,2804,15092.2,-0.16,21,51,93,77,11.7,0.3,8.5,0.2,24.4,5.4,20.6,1.8,1785,2305,0.25,3.28,50,7.6,0.1
"Peru",2020,2824,13257.9,-0.36,18,51,94,77,11.1,0.3,8.7,0.3,25.3,5.8,NA,NA,1788,2309,0.27,3.24,53,7.5,0.1
"Peru",2021,2802,14853.6,-0.36,19,52,94,78,10.6,0.3,9,0.3,26.3,6.1,NA,NA,1790,2312,0.26,3.28,55,NA,NA
"Peru",2022,2807,15102.6,-0.45,18,52,95,78,10.1,0.3,9.4,0.3,27.3,6.4,NA,NA,1792,2315,0.26,3.28,58,NA,NA
"Philippines",2017,2671,8695.2,-1.19,27,47,93,79,30.7,3.6,4.2,0.5,7.1,4.7,13.3,3.6,1739,2243,0.26,3.07,58,21.1,0.5
"Philippines",2018,2751,9090.7,-1.1,35,47,93,80,30.1,3.5,4.3,0.5,7.4,5,12.8,3.5,1741,2246,0.25,3.03,59,21.1,0.5
"Philippines",2019,2812,9488.6,-0.93,48,47,94,81,30.1,3.5,4.4,0.5,7.7,5.3,12.3,3.5,1743,2250,0.25,3.05,60,21.1,0.5
"Philippines",2020,2791,8446.9,-0.78,51,47,94,82,29.7,3.5,4.5,0.5,8,5.7,NA,NA,1746,2253,0.27,3.02,61,21.1,0.5
"Philippines",2021,2815,8797.2,-0.98,35,48,94,84,29,3.5,4.6,0.5,8.4,6.1,NA,NA,1748,2256,0.27,2.97,62,NA,NA
"Philippines",2022,2850,9325.7,-0.71,33,48,95,85,28.8,3.5,4.6,0.6,8.7,6.5,NA,NA,1750,2258,0.27,2.97,63,NA,NA
"Poland",2017,3428,34689.4,0.51,33,91,93,99,2.2,0.1,5.9,0.1,24.7,7.8,NA,NA,1936,2511,0.21,2.11,98,5.7,0.1
"Poland",2018,3464,36751.8,0.48,42,91,93,99,2.2,0.1,5.9,0.1,25.3,8,NA,NA,1934,2508,0.2,2.14,98,5.7,0.1
"Poland",2019,3477,38396.6,0.55,54,90,92,99,2.2,0.1,6,0.1,25.8,8.1,NA,NA,1932,2506,0.2,2.05,98,5.6,0.1
"Poland",2020,3524,37686.9,0.49,59,90,91,99,2.3,0.1,6,0.1,26.3,8.3,NA,NA,1931,2505,0.21,2.09,98,5.6,0.1
"Poland",2021,3554,40462.7,0.49,40,89,90,99,2.3,0.1,6,0.1,26.9,8.4,NA,NA,1931,2505,0.21,2.04,98,NA,NA
"Poland",2022,3436,43661.5,0.5,33,89,90,99,2.3,0.1,6,0.1,27.5,9,NA,NA,1935,2510,0.21,2.04,98,NA,NA
"Portugal",2017,3434,38100.7,1.11,27,95,99,99,3.4,0.1,8.8,0.1,20.1,1.7,12.7,0.3,1923,2493,0.21,2.37,88,8.7,0.1
"Portugal",2018,3467,39249.2,1.12,26,95,99,99,3.4,0.1,8.9,0.1,20.4,1.7,13,0.3,1922,2492,0.2,2.28,91,8.8,0.1
"Portugal",2019,3485,40292.5,1.05,29,95,99,99,3.3,0.1,8.9,0.1,20.7,1.8,13.2,0.3,1920,2491,0.2,2.3,91,8.8,0.1
"Portugal",2020,3506,36909.2,1.01,25,95,99,99,3.2,0.1,8.9,0.1,21.1,1.8,NA,NA,1920,2491,0.21,2.22,92,8.9,0.1
"Portugal",2021,3526,38783,0.94,25,95,99,99,3.2,0.1,8.9,0.1,21.4,1.8,NA,NA,1920,2491,0.2,2.32,92,NA,NA
"Portugal",2022,3553,41240.4,0.86,13,95,99,99,3.1,0.1,8.9,0.1,21.8,1.9,NA,NA,1920,2491,0.21,2.32,93,NA,NA
"Puerto Rico",2017,NA,42513.6,0.48,NA,99,99,99,NA,NA,NA,NA,37.8,1,18.4,0.1,1916,2490,0.11,3.02,32,NA,NA
"Puerto Rico",2018,NA,42339.5,0.27,NA,99,99,99,NA,NA,NA,NA,38.4,1,18.6,0.1,1917,2492,0.11,3.02,32,NA,NA
"Puerto Rico",2019,NA,43044.2,0.14,NA,99,99,99,NA,NA,NA,NA,39.1,1.1,18.8,0.1,1920,2496,0.11,3.02,32,NA,NA
"Puerto Rico",2020,NA,40131.1,0.44,NA,99,99,99,NA,NA,NA,NA,39.8,1.1,NA,NA,1921,2497,0.11,3.02,32,NA,NA
"Puerto Rico",2021,NA,40537.7,0.49,NA,99,99,99,NA,NA,NA,NA,40.5,1.1,NA,NA,1919,2495,0.11,3.02,32,NA,NA
"Puerto Rico",2022,NA,42432.1,0.54,NA,99,99,99,NA,NA,NA,NA,41.1,1.1,NA,NA,1919,2496,0.11,3.02,32,NA,NA
"Qatar",2017,NA,108024,0.65,NA,97,99,99,5.4,0.1,12,0.1,39.9,0.9,27.6,0.1,2054,2693,0.12,3.02,96,9.9,0.1
"Qatar",2018,NA,107185,0.65,NA,97,99,99,5.2,0.1,12,0.1,40.6,0.9,27.9,0.1,2050,2686,0.12,3.02,96,10,0.1
"Qatar",2019,NA,106366,0.68,NA,97,99,99,5,0.1,12,0.1,41.3,1,28.1,0.1,2040,2670,0.11,3.3,97,10,0.1
"Qatar",2020,NA,104323,0.67,NA,97,99,99,4.8,0.1,11.9,0.1,42,1,NA,NA,2031,2654,0.11,3.3,98,10,0.1
"Qatar",2021,NA,108865,0.83,NA,97,99,99,4.6,0.1,11.8,0.1,42.6,0.9,NA,NA,2028,2646,0.11,3.28,99,NA,NA
"Qatar",2022,NA,113157,0.96,NA,97,99,99,4.4,0.1,11.7,0.1,43.1,1,NA,NA,2027,2644,0.11,3.28,99,NA,NA
"Republic of Korea",2017,3377,44928.1,0.38,21,99,99,99,1.8,0.1,6.2,0.1,5.4,2.3,13.1,1.6,1904,2468,0.22,2.33,98,7,0.1
"Republic of Korea",2018,3387,46034.3,0.64,17,99,99,99,1.8,0.1,6,0.1,5.7,2.5,13.2,1.6,1904,2468,0.22,2.36,99,7.1,0.1
"Republic of Korea",2019,3382,46903.8,0.55,18,99,99,99,1.8,0.1,5.8,0.1,6.1,2.7,13.5,1.6,1904,2469,0.22,2.33,99,7.3,0.1
"Republic of Korea",2020,3378,46506.9,0.61,16,99,99,99,1.8,0.1,5.7,0.1,6.5,2.9,NA,NA,1904,2469,0.22,2.29,99,7.5,0.1
"Republic of Korea",2021,3398,48594.6,0.63,15,99,99,99,1.7,0.1,5.5,0.1,6.9,3,NA,NA,1904,2469,0.22,2.29,99,NA,NA
"Republic of Korea",2022,3410,49977,0.56,10,99,99,99,1.7,0.1,5.4,0.1,7.3,3.3,NA,NA,1904,2469,0.22,2.29,99,NA,NA
"Republic of Moldova",2017,2943,13118.8,-0.31,17,73,90,82,5.2,0.1,3.4,0.1,23,0.6,26,0.3,1904,2466,0.19,2.39,NA,6.5,0.1
"Republic of Moldova",2018,3017,13895.5,-0.4,29,74,90,82,4.9,0.1,3.2,0.1,23,0.6,26,0.3,1899,2459,0.19,2.58,NA,6.5,0.1
"Republic of Moldova",2019,3015,14621.2,-0.39,49,74,91,83,4.6,0.1,3,0.1,23,0.6,26.1,0.3,1897,2456,0.2,2.47,NA,6.5,0.1
"Republic of Moldova",2020,2966,13559.3,-0.34,43,74,91,84,4.4,0.1,2.9,0.1,23,0.5,NA,NA,1897,2455,0.2,2.27,NA,6.5,0.1
"Republic of Moldova",2021,3027,15682.1,-0.21,39,75,92,84,4.1,0.1,2.9,0.1,23,0.5,NA,NA,1896,2453,0.2,2.32,NA,NA,NA
"Republic of Moldova",2022,3006,15229.5,-0.67,34,75,92,85,3.9,0.1,2.9,0.1,23,0.6,NA,NA,1905,2466,0.2,2.32,NA,NA,NA
"Romania",2017,3595,33059.6,0.05,78,82,99,85,8.4,0.1,5.4,0.1,27.7,4.4,22.1,1,1919,2489,0.21,2.23,77,9.1,0.1
"Romania",2018,3620,35259.3,0.04,62,82,99,86,8.3,0.1,5,0.1,29,4.6,22.3,1,1917,2486,0.2,2.3,80,9,0.1
"Romania",2019,3646,36811.3,0.54,46,82,99,86,8.2,0.1,4.8,0.1,30.2,4.8,22.7,1,1915,2484,0.2,2.2,82,8.9,0.1
"Romania",2020,3637,35653.4,0.51,28,82,99,87,8,0.1,4.6,0.1,31.5,4.9,NA,NA,1915,2483,0.2,2.12,84,8.8,0.1
"Romania",2021,3665,37971.1,0.58,14,82,99,88,7.8,0.1,4.5,0.1,32.7,5.1,NA,NA,1915,2483,0.21,2.03,87,NA,NA
"Romania",2022,3624,39872.5,0.49,11,82,99,88,7.7,0.1,4.5,0.1,34,5.4,NA,NA,1918,2488,0.23,2.03,88,NA,NA
"Russian Federation",2017,3353,36011.8,-0.64,32,76,97,88,NA,NA,8.4,0.8,23.2,26.9,20.6,7.1,1905,2463,0.22,2.08,60,7.3,0.1
"Russian Federation",2018,3353,37025.8,-0.54,24,76,97,88,NA,NA,8,0.7,23.4,27.1,20.8,7.1,1905,2462,0.22,2.11,60,7.3,0.1
"Russian Federation",2019,3347,37856.6,-0.55,23,76,97,89,NA,NA,7.7,0.7,23.6,27.3,21.1,7.2,1905,2462,0.22,2.11,61,7.3,0.1
"Russian Federation",2020,3369,36928.7,-0.67,11,76,97,89,NA,NA,7.5,0.6,23.8,27.5,NA,NA,1906,2463,0.22,2.11,61,7.3,0.1
"Russian Federation",2021,3382,38971.2,-0.71,11,76,97,89,NA,NA,7.4,0.6,24,27.6,NA,NA,1907,2464,0.22,2.11,61,NA,NA
"Russian Federation",2022,3420,38128.7,-0.92,13,76,97,89,NA,NA,7.4,0.6,24.2,27.7,NA,NA,1909,2467,0.22,2.11,61,NA,NA
"Rwanda",2017,2232,2340,0.08,15,NA,60,68,34.6,0.6,5.6,0.1,3.5,0.2,17.4,0.5,1722,2219,0.34,5.26,NA,9.4,0.1
"Rwanda",2018,2198,2478.6,0.1,27,NA,61,70,33.6,0.6,5.5,0.1,3.7,0.2,17.3,0.5,1725,2223,0.34,5.29,NA,9.4,0.1
"Rwanda",2019,2198,2649.1,0.06,25,NA,62,71,32.6,0.6,5.3,0.1,4,0.3,17.2,0.6,1728,2228,0.35,4.83,NA,9.4,0.1
"Rwanda",2020,2222,2499,0.07,25,NA,63,72,31.6,0.6,5.1,0.1,4.3,0.3,NA,NA,1731,2231,0.36,5.6,NA,9.4,0.1
"Rwanda",2021,2273,2705.8,0.07,27,NA,64,74,30.7,0.6,4.9,0.1,4.6,0.3,NA,NA,1734,2236,0.37,5.46,NA,NA,NA
"Rwanda",2022,2314,2859.8,0.03,26,NA,65,74,29.8,0.6,4.7,0.1,4.9,0.4,NA,NA,1737,2240,0.35,5.46,NA,NA,NA
"Saint Kitts and Nevis",2017,NA,29272.1,0.63,NA,NA,99,95,NA,NA,NA,NA,42.2,0.1,14.8,0.1,NA,NA,NA,2.96,NA,NA,NA
"Saint Kitts and Nevis",2018,NA,29888,0.68,NA,NA,NA,NA,NA,NA,NA,NA,42.9,0.1,15.1,0.1,NA,NA,NA,2.86,NA,NA,NA
"Saint Kitts and Nevis",2019,NA,31130.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,43.6,0.1,15.4,0.1,NA,NA,NA,2.59,NA,NA,NA
"Saint Kitts and Nevis",2020,NA,26636.9,0.93,NA,NA,NA,NA,NA,NA,NA,NA,44.3,0.1,NA,NA,NA,NA,NA,2.87,NA,NA,NA
"Saint Kitts and Nevis",2021,NA,26419.4,0.95,NA,NA,NA,NA,NA,NA,NA,NA,45,0.1,NA,NA,NA,NA,NA,2.7,NA,NA,NA
"Saint Kitts and Nevis",2022,NA,28725.5,0.94,NA,NA,NA,NA,NA,NA,NA,NA,45.6,0.1,NA,NA,NA,NA,NA,2.7,NA,NA,NA
"Saint Lucia",2017,NA,23300.1,0.97,NA,NA,96,83,2.4,0.1,6.1,0.1,29.6,0.1,13.9,0.1,1934,2518,0.22,3.01,NA,16.2,0.1
"Saint Lucia",2018,NA,23873.6,0.99,NA,NA,97,83,2.4,0.1,6.1,0.1,30.4,0.1,14.1,0.1,1933,2516,0.22,3.07,NA,16.2,0.1
"Saint Lucia",2019,NA,23626.1,0.91,NA,NA,97,83,2.4,0.1,6,0.1,31.1,0.1,14.3,0.1,1933,2516,0.22,3.01,NA,16.2,0.1
"Saint Lucia",2020,NA,17804.5,0.86,NA,NA,97,83,2.5,0.1,6,0.1,31.9,0.1,NA,NA,1932,2513,0.22,2.92,NA,16.3,0.1
"Saint Lucia",2021,NA,19935.9,0.83,NA,NA,97,83,2.5,0.1,6,0.1,32.7,0.1,NA,NA,1932,2512,0.22,3.14,NA,NA,NA
"Saint Lucia",2022,NA,23075.2,0.87,NA,NA,97,83,2.5,0.1,6,0.1,33.5,0.1,NA,NA,1932,2511,0.22,3.14,NA,NA,NA
"Saint Vincent and the Grenadines",2017,2994,15374.6,0.87,19,NA,98,90,NA,NA,NA,NA,29.8,0.1,16.7,0.1,1920,2489,0.24,3.2,NA,NA,NA
"Saint Vincent and the Grenadines",2018,2989,15903.2,0.82,24,NA,98,90,NA,NA,NA,NA,30.5,0.1,16.8,0.1,1919,2487,0.24,3.36,NA,NA,NA
"Saint Vincent and the Grenadines",2019,2961,16063,0.94,26,NA,NA,NA,NA,NA,NA,NA,31.1,0.1,17,0.1,1917,2485,0.24,3.37,NA,NA,NA
"Saint Vincent and the Grenadines",2020,2929,15505.4,1.03,34,NA,NA,NA,NA,NA,NA,NA,31.8,0.1,NA,NA,1915,2483,0.24,3.29,NA,NA,NA
"Saint Vincent and the Grenadines",2021,2951,15673.7,1.04,33,NA,NA,NA,NA,NA,NA,NA,32.5,0.1,NA,NA,1915,2484,0.24,3.44,NA,NA,NA
"Saint Vincent and the Grenadines",2022,3023,16504,1.04,31,NA,NA,NA,NA,NA,NA,NA,33.2,0.1,NA,NA,1914,2482,0.24,3.44,NA,NA,NA
